Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Himanshi Babbar,,0000-0003-4580-6617,15.0,https://openalex.org/A5074678857,,0,https://openalex.org/I74319210
Sountharrajan Sehar,,0000-0003-4248-3875,3.0,https://openalex.org/A5085568268,,0,https://openalex.org/I81556334
Aman Singh,,0000-0001-6571-327X,28.0,https://openalex.org/A5073215738,,0,https://openalex.org/I119939252
Annalisa Barsotti,,0000-0002-8279-729X,1.0,https://openalex.org/A5087714177,,0,https://openalex.org/I189158943
Meriem Bettayeb,,0000-0002-0163-1395,7.0,https://openalex.org/A5032470869,,0,https://openalex.org/I117222138
Heba Abunahla,,0000-0002-5357-2374,13.0,https://openalex.org/A5006143958,,0,https://openalex.org/I98358874
Michela Lecca,,0000-0001-7961-0212,14.0,https://openalex.org/A5087921260,,0,https://openalex.org/I2277624104
Marco Anisetti,,0000-0002-5438-9467,25.0,https://openalex.org/A5090344140,,0,https://openalex.org/I189158943
Claudio A. Ardagna,,0000-0001-7426-4795,27.0,https://openalex.org/A5058453558,,0,https://openalex.org/I189158943
Nicola Bena,,0000-0003-4909-9892,7.0,https://openalex.org/A5046305434,,0,https://openalex.org/I189158943
Vincenzo Giandomenico,,0009-0001-7729-0574,1.0,https://openalex.org/A5093843226,,0,https://openalex.org/I189158943
Aldo Geuna,,0000-0001-8587-840X,42.0,https://openalex.org/A5011772671,,0,https://openalex.org/I55143463
Massimiliano Nuccio,,0000-0002-0751-2143,13.0,https://openalex.org/A5070397846,,0,https://openalex.org/I149461666
Fabio Pammolli,,0000-0001-7056-1303,44.0,https://openalex.org/A5050830060,,0,https://openalex.org/I93860229
Armando Rungi,,0000-0002-2204-582X,16.0,https://openalex.org/A5021209136,,0,https://openalex.org/I127077003
Federico Tamagni,,0000-0001-6476-6388,19.0,https://openalex.org/A5038404470,,0,https://openalex.org/I162290304
Carlo Bottai,,0000-0002-2878-9360,2.0,https://openalex.org/A5081225656,,0,https://openalex.org/I66752286
Lisa Crosato,,0000-0002-3415-656X,8.0,https://openalex.org/A5002037791,,0,https://openalex.org/I149461666
Josep Domènech,,0000-0002-7302-5810,29.0,https://openalex.org/A5026765555,,0,https://openalex.org/I60053951
Caterina Liberati,,0000-0001-9910-4018,8.0,https://openalex.org/A5005872455,,0,https://openalex.org/I66752286
Riccardo Cappelli,,0000-0001-7917-5142,6.0,https://openalex.org/A5037370959,,0,https://openalex.org/I122534668
Marco Cremaschi,,0000-0001-7840-6228,7.0,https://openalex.org/A5060472818,,0,https://openalex.org/I66752286
Anna Panzeri,,0000-0001-5999-858X,15.0,https://openalex.org/A5001376956,,0,https://openalex.org/I138689650
Andrea Spoto,,0000-0002-7580-544X,22.0,https://openalex.org/A5075352572,,0,https://openalex.org/I138689650
Fabio D’Adda,,0009-0006-0995-0661,1.0,https://openalex.org/A5096380832,,0,https://openalex.org/I66752286
Mario Mezzanzanica,,0000-0003-0399-2810,20.0,https://openalex.org/A5039716498,,0,https://openalex.org/I66752286
Andrea Seveso,,0000-0001-7132-7703,8.0,https://openalex.org/A5036819374,,0,https://openalex.org/I66752286
Lorenzo Malandri,,0000-0002-0222-9365,13.0,https://openalex.org/A5046882068,,0,https://openalex.org/I66752286
Navid Nobani,,0000-0001-9964-097X,6.0,https://openalex.org/A5040060014,,0,https://openalex.org/I66752286
Simone D’Amico,,0009-0002-2820-0277,0.0,https://openalex.org/A5102781905,,0,https://openalex.org/I66752286
Antonio Serino,,0009-0008-0737-8547,1.0,https://openalex.org/A5099566317,,0,https://openalex.org/I66752286
Anna Giabelli,,0000-0001-9419-4800,6.0,https://openalex.org/A5032957516,,0,https://openalex.org/I66752286
Vittorio Haardt,,0009-0005-6877-8112,0.0,https://openalex.org/A5115721388,,0,
Samuele Colombo,,0009-0001-4958-927X,0.0,https://openalex.org/A5117539811,,0,https://openalex.org/I66752286
Alessandro Castelnovo,,0000-0001-5234-1155,7.0,https://openalex.org/A5015450677,,0,https://openalex.org/I66752286
Nicolò Mombelli,,0009-0006-0550-7240,0.0,https://openalex.org/A5093538370,,0,
Daniele Potertì,,0009-0006-6525-4492,0.0,https://openalex.org/A5099566316,,0,
Salvatore Sorrentino,,0000-0001-9125-5225,2.0,https://openalex.org/A5040936907,,0,https://openalex.org/I93860229
Noemi Gozzi,,0000-0003-0126-7893,8.0,https://openalex.org/A5070986012,,0,https://openalex.org/I35440088
Vincenzo Moscato,,0000-0002-0754-7696,38.0,https://openalex.org/A5081965427,,0,https://openalex.org/I71267560
Antonio Picariello,,0000-0003-4804-1007,38.0,https://openalex.org/A5067863367,,0,https://openalex.org/I71267560
Giancarlo Sperlí,,0000-0003-4033-3777,32.0,https://openalex.org/A5080190737,,0,https://openalex.org/I71267560
Xiaochen Chou,,0000-0003-1491-9336,6.0,https://openalex.org/A5069425448,,0,https://openalex.org/I66752286
Stein W. Wallace,,0000-0001-5909-7909,42.0,https://openalex.org/A5045131799,,0,https://openalex.org/I931913249
Stanislav Fedorov,,0000-0002-8896-5047,4.0,https://openalex.org/A5021329240,,0,https://openalex.org/I177477856
Bruno G. Galuzzi,,0000-0002-8518-5352,9.0,https://openalex.org/A5022533797,,0,https://openalex.org/I4210095629
Marco Piazza,,0000-0002-8337-0415,2.0,https://openalex.org/A5058808642,,0,https://openalex.org/I66752286
Marzia Bedoni,,0000-0003-2618-3661,27.0,https://openalex.org/A5058902689,,0,https://openalex.org/I4210116940
Peter Filzmoser,,0000-0002-8014-4682,67.0,https://openalex.org/A5041191852,,0,https://openalex.org/I4210153325
Sonia Migliorati,,0000-0002-8968-9240,10.0,https://openalex.org/A5043955676,,0,https://openalex.org/I66752286
Silvana Stefani,,0000-0002-1032-0214,14.0,https://openalex.org/A5088216113,,0,https://openalex.org/I66752286
Gleda Kutrolli,,0000-0001-6602-2622,5.0,https://openalex.org/A5074504932,,0,https://openalex.org/I184942183
Sergei Kulakov,,0000-0002-8075-2012,4.0,https://openalex.org/A5066273761,,0,https://openalex.org/I62318514
Ridha Ejbali,,0000-0002-8148-1621,17.0,https://openalex.org/A5029856197,,0,https://openalex.org/I68916915
Mourad Zaied,,0000-0003-4013-5834,26.0,https://openalex.org/A5074838703,,0,https://openalex.org/I68916915
Diego Valsesia,,0000-0003-1997-2910,20.0,https://openalex.org/A5058182410,,0,https://openalex.org/I177477856
Tiziano Bianchi,,0000-0002-3965-3522,31.0,https://openalex.org/A5054395599,,0,https://openalex.org/I177477856
Enrico Magli,,0000-0002-0901-0251,39.0,https://openalex.org/A5034486931,,0,https://openalex.org/I177477856
Mirko Paolo Barbato,,0000-0002-3967-8957,3.0,https://openalex.org/A5062273130,,0,https://openalex.org/I66752286
Riccardo Berto,,0000-0001-8618-6499,1.0,https://openalex.org/A5065864353,,0,https://openalex.org/I66752286
Micol Rossini,,0000-0002-6052-3140,49.0,https://openalex.org/A5077283969,,0,https://openalex.org/I66752286
Roberto Colombo,,0000-0003-3997-0576,56.0,https://openalex.org/A5101427918,,0,https://openalex.org/I66752286
Marco Leonardi,,0000-0002-7989-1162,20.0,https://openalex.org/A5032821603,,0,https://openalex.org/I189158943
Alessandro Rozza,,0000-0001-6269-1351,16.0,https://openalex.org/A5011098514,,0,https://openalex.org/I305386
Daniela Micucci,,0000-0003-1261-2234,15.0,https://openalex.org/A5015645148,,0,https://openalex.org/I66752286
Marco Mobilio,,0000-0002-3499-0159,12.0,https://openalex.org/A5042303773,,0,https://openalex.org/I66752286
Ian-Christopher Tanoh,,0000-0001-7248-9472,2.0,https://openalex.org/A5024982334,,0,https://openalex.org/I4210139461
Vincenzo Cutrona,,0000-0001-7830-7596,7.0,https://openalex.org/A5067221673,,0,https://openalex.org/I15196421
Federico Bianchi,,0000-0003-0776-361X,16.0,https://openalex.org/A5078515950,,0,https://openalex.org/I97018004
Ernesto Jiménez-Ruiz,,0000-0002-9083-4599,37.0,https://openalex.org/A5056324053,,0,https://openalex.org/I165862685
Riccardo Pozzi,,0000-0002-4954-3837,3.0,https://openalex.org/A5055496184,,0,https://openalex.org/I66752286
Valentina Barbera,,0009-0000-5177-0919,0.0,https://openalex.org/A5114962581,,0,
Renzo Alva Principe,,0000-0002-8540-6389,0.0,https://openalex.org/A5034190508,,0,https://openalex.org/I66752286
D. Giardini,,0009-0007-8909-2309,22.0,https://openalex.org/A5108111322,,0,https://openalex.org/I35440088
Riccardo Rubini,,0009-0001-0955-6721,1.0,https://openalex.org/A5101643757,,0,https://openalex.org/I66752286
Federico Moiraghi,,0000-0002-4613-8115,2.0,https://openalex.org/A5053820350,,0,https://openalex.org/I66752286
Fausto Lodi,,0000-0003-4506-2304,2.0,https://openalex.org/A5020384751,,0,https://openalex.org/I66752286
Christian Bernasconi,,0009-0005-8655-4446,4.0,https://openalex.org/A5034399736,,0,https://openalex.org/I66752286
M. Besher Massri,,0000-0001-9134-4025,4.0,https://openalex.org/A5069923967,,0,https://openalex.org/I3006985408
Blerina Spahiu,,0000-0002-6958-8215,9.0,https://openalex.org/A5088767562,,0,https://openalex.org/I66752286
Marko Grobelnik,,0000-0001-7373-5591,36.0,https://openalex.org/A5043874320,,0,https://openalex.org/I3006985408
Vladimir Alexiev,,0000-0001-7508-7428,9.0,https://openalex.org/A5089073594,,0,https://openalex.org/I46831270
Dumitru Roman,,0000-0001-6397-3705,24.0,https://openalex.org/A5016864296,,0,https://openalex.org/I173888879
Gianluca Demartini,,0000-0002-7311-3693,33.0,https://openalex.org/A5052565959,,0,https://openalex.org/I160993911
Katja Hose,,0000-0001-7025-8099,27.0,https://openalex.org/A5015313855,,0,https://openalex.org/I145847075
Maribel Acosta,,0000-0002-1209-2868,14.0,https://openalex.org/A5091892854,,0,https://openalex.org/I62916508
Gong Cheng,,0000-0003-3539-7776,27.0,https://openalex.org/A5063617509,,0,https://openalex.org/I4210107205
Hala Skaf‐Molli,,0000-0003-1062-6659,17.0,https://openalex.org/A5023760284,,0,https://openalex.org/I4210117005
Nicolas Ferranti,,0000-0002-5574-1987,4.0,https://openalex.org/A5045531611,,0,https://openalex.org/I102248843
Daniel Hernández,,0000-0002-7896-0875,5.0,https://openalex.org/A5073473252,,0,https://openalex.org/I100066346
Aidan Hogan,,0000-0001-9482-1982,37.0,https://openalex.org/A5070504151,,0,https://openalex.org/I4210167034
Gian Carlo Milanese,,0000-0002-1757-0152,2.0,https://openalex.org/A5044205742,,0,https://openalex.org/I66752286
Arian Askari,,0000-0003-4712-832X,7.0,https://openalex.org/A5059759006,,0,https://openalex.org/I121797337
Suzan Verberne,,0000-0002-9609-9505,26.0,https://openalex.org/A5027124439,,0,https://openalex.org/I121797337
Amin Abolghasemi,,0009-0002-3725-7312,5.0,https://openalex.org/A5075022002,,0,https://openalex.org/I121797337
Wessel Kraaij,,0000-0001-7797-619X,35.0,https://openalex.org/A5049624750,,0,https://openalex.org/I121797337
Rishabh Upadhyay,,0000-0001-9937-6494,6.0,https://openalex.org/A5017640722,,0,https://openalex.org/I4210109742
Cristina Crocamo,,0000-0002-2979-2107,36.0,https://openalex.org/A5043520582,,0,https://openalex.org/I66752286
Matteo Mazzola,,0000-0001-9548-8720,2.0,https://openalex.org/A5086294946,,0,https://openalex.org/I66752286
Francesco Bartoli,,0000-0003-2612-4119,37.0,https://openalex.org/A5090198360,,0,https://openalex.org/I66752286
Giuseppe Carrà,,0000-0002-6877-6169,53.0,https://openalex.org/A5010094006,,0,https://openalex.org/I66752286
Lorraine Goeuriot,,0000-0001-7491-1980,20.0,https://openalex.org/A5062228577,,0,https://openalex.org/I899635006
Hanna Suominen,,0000-0002-4195-1641,35.0,https://openalex.org/A5059778915,,0,https://openalex.org/I118347636
Liadh Kelly,,0000-0003-1131-5238,22.0,https://openalex.org/A5031680216,,0,https://openalex.org/I157286207
Antonio Miranda-Escalada,,0000-0002-5654-001X,8.0,https://openalex.org/A5051147636,,0,https://openalex.org/I9617848
Martin Krallinger,,0000-0002-2646-8782,35.0,https://openalex.org/A5007203127,,0,https://openalex.org/I9617848
Gabriela González-Sáez,,0000-0003-0878-5263,3.0,https://openalex.org/A5018544005,,0,https://openalex.org/I4210104430
Oktovianus Rerung,,0000-0001-2345-6789,1.0,https://openalex.org/A5025519390,,0,https://openalex.org/I4210133755
Xiancheng Li,,0009-0003-3734-1634,9.0,https://openalex.org/A5003654383,,0,https://openalex.org/I2799858192
Neil Coulson,,0000-0001-9940-909X,36.0,https://openalex.org/A5064435268,,0,https://openalex.org/I142263535
Anna De Simoni,,0000-0001-6955-0885,21.0,https://openalex.org/A5091770864,,0,https://openalex.org/I166337079
Elias Bassani,,0000-0001-7922-2578,5.0,https://openalex.org/A5063789850,,0,https://openalex.org/I66752286
Giacomo Sbrana,,0000-0002-5378-6233,11.0,https://openalex.org/A5020777801,,0,https://openalex.org/I1289910757
Gianluca Gucciardi,,0000-0002-8814-5575,8.0,https://openalex.org/A5085726622,,0,https://openalex.org/I123338534
Elisa Ossola,,0000-0001-5616-5785,9.0,https://openalex.org/A5032579089,,0,https://openalex.org/I66752286
Lucia Parisio,,0000-0001-9372-9148,12.0,https://openalex.org/A5055769431,,0,https://openalex.org/I66752286
Paolo Maranzano,,0000-0002-9228-2759,10.0,https://openalex.org/A5000971803,,0,https://openalex.org/I66752286
Alessandro Fassò,,0000-0001-5132-9488,18.0,https://openalex.org/A5054169119,,0,https://openalex.org/I31762744
Manfred Mudelsee,,0000-0002-2364-9561,55.0,https://openalex.org/A5073752777,,0,https://openalex.org/I176453806
Antonietta Mira,,0000-0002-5609-7935,25.0,https://openalex.org/A5030873840,,0,https://openalex.org/I57201433
Francesca Bassi,,0000-0002-3257-7029,14.0,https://openalex.org/A5053077636,,0,https://openalex.org/I138689650
Luca Rossetto,,0000-0001-7070-153X,8.0,https://openalex.org/A5024086605,,0,https://openalex.org/I138689650
Beata Bal‐Domańska,,0000-0003-0395-4259,8.0,https://openalex.org/A5083382050,,0,https://openalex.org/I305801656
Federico P. Cortese,,0000-0002-6931-3924,3.0,https://openalex.org/A5019405932,,0,https://openalex.org/I66752286
Ewa Genge,,0000-0002-8899-3697,5.0,https://openalex.org/A5049233665,,0,https://openalex.org/I188922065
Chiara Damiani,,0000-0002-5742-8302,15.0,https://openalex.org/A5049497722,,0,https://openalex.org/I66752286
Davide Maspero,,0000-0001-8519-4331,14.0,https://openalex.org/A5038449865,,0,https://openalex.org/I4210142206
Marzia Di Filippo,,0000-0002-7428-0522,8.0,https://openalex.org/A5037716718,,0,https://openalex.org/I66752286
Riccardo Colombo,,0000-0002-9499-0126,17.0,https://openalex.org/A5026873442,,0,https://openalex.org/I4210127540
Alex Graudenzi,,0000-0001-5452-1918,21.0,https://openalex.org/A5055916343,,0,https://openalex.org/I66752286
Hans V. Westerhoff,,0000-0002-0443-6114,91.0,https://openalex.org/A5043470360,,0,https://openalex.org/I865915315
Lilia Alberghina,,0000-0003-1694-931X,54.0,https://openalex.org/A5053427006,,0,https://openalex.org/I66752286
Giancarlo Mauri,,0000-0003-3520-4022,47.0,https://openalex.org/A5073163964,,0,https://openalex.org/I66752286
Michael Belingheri,,0000-0001-6807-6819,13.0,https://openalex.org/A5019798488,,0,https://openalex.org/I66752286
María Emilia Paladino,,0000-0003-4351-2711,12.0,https://openalex.org/A5085828550,,0,https://openalex.org/I66752286
M Riva,,0000-0001-7147-3460,23.0,https://openalex.org/A5024223386,,0,https://openalex.org/I66752286
Antonella Zambon,,0000-0001-6443-3858,45.0,https://openalex.org/A5044371296,,0,https://openalex.org/I4210134201
Marco Antoniotti,,0000-0002-2823-6838,23.0,https://openalex.org/A5037919963,,0,https://openalex.org/I66752286
Giulia Agostinetto,,0000-0003-0506-8816,8.0,https://openalex.org/A5077954935,,0,https://openalex.org/I66752286
Anna Sandionigi,,0000-0002-5257-0027,21.0,https://openalex.org/A5106522097,,0,https://openalex.org/I66752286
Bachir Balech,,0000-0002-4419-0729,9.0,https://openalex.org/A5069107141,,0,https://openalex.org/I4210155236
Antonia Bruno,,0000-0002-1929-6652,18.0,https://openalex.org/A5002013363,,0,https://openalex.org/I66752286
Maurizio Casiraghi,,0000-0002-2733-2094,41.0,https://openalex.org/A5061100918,,0,https://openalex.org/I66752286
Marcella Bonanomi,,0000-0003-0886-7613,15.0,https://openalex.org/A5090613508,,0,https://openalex.org/I4210095629
Eleonora Mangano,,0000-0002-4040-4654,17.0,https://openalex.org/A5038235367,,0,https://openalex.org/I189158943
Clarissa Consolandi,,0000-0002-9328-9557,36.0,https://openalex.org/A5001358940,,0,https://openalex.org/I4210154278
Valentino Bettinardi,,0000-0002-4501-9106,38.0,https://openalex.org/A5059186654,,0,https://openalex.org/I4210133214
Elisabetta De Bernardi,,0000-0002-8394-0342,15.0,https://openalex.org/A5001185925,,0,https://openalex.org/I66752286
Valentina Zeffiro,,0000-0002-1701-1879,10.0,https://openalex.org/A5067629797,,0,https://openalex.org/I116067653
Giuseppe Occhino,,0000-0002-7074-9354,8.0,https://openalex.org/A5033406590,,0,https://openalex.org/I66752286
Gabriele Caggianelli,,0000-0002-1985-3068,6.0,https://openalex.org/A5013173233,,0,https://openalex.org/I2799358833
Davide Ausili,,0000-0001-5212-6463,28.0,https://openalex.org/A5014926650,,0,https://openalex.org/I66752286
Rosaria Alvaro,,0000-0002-4659-1569,44.0,https://openalex.org/A5025560417,,0,https://openalex.org/I116067653
Bárbara Riegel,,0000-0002-0970-136X,114.0,https://openalex.org/A5084244205,,0,https://openalex.org/I79576946
Ercole Vellone,,0000-0003-4673-7473,51.0,https://openalex.org/A5025877876,,0,https://openalex.org/I116067653
Rosario Caruso,,0000-0002-7736-6209,23.0,https://openalex.org/A5062475478,,0,https://openalex.org/I4210099239
Stefania Di Mauro,,0000-0002-9625-5651,20.0,https://openalex.org/A5011331848,,0,https://openalex.org/I66752286
Giuseppe Regolisti,,0000-0002-9976-5681,38.0,https://openalex.org/A5054465002,,0,https://openalex.org/I4210135416
Giulio Molon,,0000-0001-8287-0461,28.0,https://openalex.org/A5056782644,,0,https://openalex.org/I4210153126
Alessandro Maloberti,,0000-0002-2612-6264,26.0,https://openalex.org/A5081703642,,0,https://openalex.org/I66752286
Simonetta Genovesi,,0000-0002-4699-4149,35.0,https://openalex.org/A5089585668,,0,https://openalex.org/I4210134201
Zoltán Endre,,0000-0002-4782-8695,49.0,https://openalex.org/A5023858011,,0,https://openalex.org/I31746571
Marlies Ostermann,,0000-0001-9500-9080,83.0,https://openalex.org/A5070798527,,0,https://openalex.org/I1324925910
Maria Grazia Valsecchi,,0000-0001-5574-3504,74.0,https://openalex.org/A5083575870,,0,https://openalex.org/I4210150100
Irène Baroni,,0000-0002-1326-8642,12.0,https://openalex.org/A5090333092,,0,https://openalex.org/I4210099239
Elena Tassistro,,0000-0001-5166-7305,10.0,https://openalex.org/A5063594781,,0,https://openalex.org/I4210153126
Laura Antolini,,0000-0003-1040-4191,33.0,https://openalex.org/A5064951012,,0,https://openalex.org/I66752286
Francesco Stranieri,,0000-0002-5366-8499,3.0,https://openalex.org/A5086094242,,0,https://openalex.org/I66752286
Federico Giannini,,0000-0002-4210-6271,2.0,https://openalex.org/A5059213693,,0,https://openalex.org/I93860229
Marco Marelli,,0000-0001-5831-5441,31.0,https://openalex.org/A5073018684,,0,https://openalex.org/I66752286
Dario Monzani,,0000-0001-9544-2933,25.0,https://openalex.org/A5020063684,,0,https://openalex.org/I6141010
Luca Pancani,,0000-0002-7834-3826,24.0,https://openalex.org/A5021205055,,0,https://openalex.org/I66752286
Alice Bernasconi,,0000-0001-8522-6882,9.0,https://openalex.org/A5058270594,,0,https://openalex.org/I4210156707
Alessio Zanga,,0000-0003-4423-2121,3.0,https://openalex.org/A5030438727,,0,https://openalex.org/I66752286
Peter Lucas,,0000-0001-5454-2428,41.0,https://openalex.org/A5007761892,,0,https://openalex.org/I94624287
Marco Scutari,,0000-0002-2151-7266,25.0,https://openalex.org/A5059820079,,0,https://openalex.org/I110002522
Annalisa Trama,,0000-0001-8220-9833,51.0,https://openalex.org/A5047822022,,0,https://openalex.org/I4210156707
Gabriele Sottocornola,,0000-0001-9983-2330,7.0,https://openalex.org/A5016449483,,0,https://openalex.org/I171543936
Emanuele Cavenaghi,,0000-0002-0235-0421,2.0,https://openalex.org/A5002642243,,0,https://openalex.org/I171543936
Markus Zanker,,0000-0002-4805-5516,34.0,https://openalex.org/A5039093142,,0,https://openalex.org/I171543936
Edoardo Fadda,,0000-0002-5599-6349,14.0,https://openalex.org/A5026981405,,0,https://openalex.org/I177477856
Johanna M.A. Pijnenborg,,0000-0002-6138-1236,37.0,https://openalex.org/A5056829692,,0,https://openalex.org/I2802934949
Casper Reijnen,,0000-0001-6873-7832,13.0,https://openalex.org/A5083376344,,0,https://openalex.org/I145872427
Marinella Petrocchi,,0000-0003-0591-877X,24.0,https://openalex.org/A5056689083,,0,https://openalex.org/I127077003
Davide Mancino,,0000-0002-9559-8476,0.0,https://openalex.org/A5099128135,,0,https://openalex.org/I66752286
Barbara Guidi,,0000-0002-0151-6469,19.0,https://openalex.org/A5010577433,,0,https://openalex.org/I108290504
Andrea Michienzi,,0000-0001-8005-8701,14.0,https://openalex.org/A5088118500,,0,https://openalex.org/I108290504
Giovanni Livraga,,0000-0003-2661-8573,15.0,https://openalex.org/A5089266346,,0,https://openalex.org/I189158943
Stefano Locci,,0009-0006-9725-2045,1.0,https://openalex.org/A5091725885,,0,https://openalex.org/I55143463
Luigi Di,,0000-0002-7570-637X,20.0,https://openalex.org/A5057833935,,0,https://openalex.org/I4210156583
Federico Pianzola,,0000-0001-6634-121X,10.0,https://openalex.org/A5079852837,,0,https://openalex.org/I169381384
Maurizio Toccu,,0000-0002-5769-1311,7.0,https://openalex.org/A5012705197,,0,https://openalex.org/I66752286
Luca Celotti,,0000-0003-2460-8099,5.0,https://openalex.org/A5018732886,,0,https://openalex.org/I135117807
Blessing Guembe,,0000-0002-7576-9127,4.0,https://openalex.org/A5012854445,,0,https://openalex.org/I186771145
Udo Kruschwitz,,0000-0002-5503-0341,24.0,https://openalex.org/A5014534985,,0,https://openalex.org/I60668342
